p;ingresopcf;housingQ;Wlocation;ToiletDrain;ToiletShare;HHschooling;Wsource;ToiletFacility;children;OlderAdults;ActiveMembers;Overcrowding;WorkingHours;bToiletLoc;Hlandfill;Hfloodplain;Hshanty;kitchen;laundry;garage;bCookingFuel;MonetaryAids;GoodsAids;OtherAids;HHgender;MedicalCov;HHemployed;pondera;bWlocation;iv3;biv3;iv4;iv4new;biv5;bWsource;ToiletLoc;bToiletFacility;CookingFuel;bToiletShare
0;4593.33;3;1;1;1;3;1;1;1;0;2;1;42;1;1;1;1;1;0;0;1;1;1;1;0;1;1;440;1;1;1;4;4;0;1;1;1;1;1
0;8000;1;1;1;1;5;1;1;0;2;0;0.5;0;1;1;1;1;1;0;0;1;1;1;1;0;1;0;468;1;1;1;4;4;1;1;1;1;1;1
0;25500;1;1;1;1;6;1;1;0;0;2;1;35;1;1;1;1;1;1;0;1;1;1;1;0;1;1;463;1;1;1;1;1;1;1;1;1;1;1
0;34000;1;1;1;1;6;1;1;0;0;2;0.33;40;1;1;1;1;1;1;0;1;1;1;1;0;1;1;244;1;1;1;9;9;1;1;1;1;1;1
0;23000;1;1;1;1;5;1;1;0;0;1;1;45;1;1;1;1;1;1;0;1;1;1;1;1;1;1;180;1;1;1;4;4;1;1;1;1;1;1
0;6600;1;1;1;1;4;1;1;0;0;5;1.67;45;1;1;1;1;1;0;0;1;1;1;1;0;1;1;385;1;1;1;2;2;1;1;1;1;1;1
0;7750;1;1;1;1;3;1;1;0;1;3;1.33;40;1;1;1;1;1;0;0;1;1;1;1;0;1;1;492;1;1;1;1;1;1;1;1;1;1;1
0;7900;1;1;1;1;6;1;1;0;1;0;0.33;0;1;1;1;1;1;0;0;1;1;1;0;1;1;0;286;1;1;1;9;9;1;1;1;1;1;1
1;1466.67;1;1;1;1;1;1;1;1;0;2;1;9;1;1;1;1;1;1;0;1;0;1;1;1;0;1;464;1;1;1;2;2;1;1;1;1;1;1
0;22620;1;1;1;1;6;1;1;0;2;0;0.67;12;1;1;1;1;1;1;0;1;1;1;1;0;1;1;58;1;1;1;9;9;1;1;1;1;1;1
0;21000;1;1;1;1;4;1;1;0;1;0;0.33;21;1;1;1;1;1;1;0;1;1;1;1;1;1;1;246;1;1;1;9;9;1;1;1;1;1;1
0;5000;1;1;1;1;3;1;1;1;0;5;1;60;1;1;1;1;1;1;1;1;1;1;1;0;1;1;192;1;1;1;1;1;1;1;1;1;1;1
0;7500;1;1;1;1;5;1;1;0;0;1;1;0;1;1;1;1;1;0;0;1;1;1;0;1;1;0;348;1;1;1;9;9;1;1;1;1;1;1
0;25500;1;1;1;1;5;1;1;0;0;2;0.67;40;1;1;1;1;1;1;0;1;1;1;1;0;1;1;170;1;1;1;9;9;1;1;1;1;1;1
0;9394;1;1;1;1;4;1;1;0;1;0;0.5;45;1;1;1;1;1;1;0;1;1;1;1;0;1;1;457;1;1;1;2;2;1;1;1;1;1;1
0;16300;1;1;1;1;6;1;1;0;0;1;0.5;60;1;1;1;1;1;0;0;1;1;1;1;1;1;1;202;1;1;1;9;9;1;1;1;1;1;1
0;27000;1;1;1;1;6;1;1;0;1;1;0.67;28;1;1;1;1;1;0;1;1;1;1;1;1;1;1;117;1;1;1;1;1;1;1;1;1;1;1
0;8333.33;1;1;1;1;6;1;1;1;0;2;1.5;40;1;1;1;1;1;0;1;1;1;1;1;0;1;1;186;1;1;1;2;2;1;1;1;1;1;1
0;20500;1;1;1;1;6;1;1;0;0;3;1;40;1;1;1;1;1;1;0;1;1;1;1;0;1;1;4;1;1;1;2;2;1;1;1;1;1;1
0;14000;1;1;1;1;5;1;1;0;0;2;2;45;1;1;1;1;1;0;0;1;1;1;1;0;1;1;4;1;1;1;2;2;1;1;1;1;1;1
0;5550;1;1;1;1;5;1;1;2;0;2;1.33;30;1;1;1;1;1;1;0;1;0;1;1;0;1;1;292;1;1;1;9;9;1;1;1;1;1;1
0;9666.67;1;1;1;1;2;1;1;0;0;3;1;48;1;1;1;1;1;1;0;1;1;1;1;0;1;1;228;1;1;1;9;9;1;1;1;1;1;1
0;13000;1;1;1;1;6;1;1;0;0;2;0.5;20;1;1;1;1;1;1;1;1;1;1;1;1;1;1;78;1;1;1;1;1;1;1;1;1;1;1
0;6200;1;1;1;1;2;1;1;0;2;0;0.67;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;78;1;1;1;1;1;1;1;1;1;1;1
1;2725;1;1;1;1;4;1;1;0;0;4;1.33;8;1;1;1;1;1;1;0;1;0;1;1;1;0;1;84;1;1;1;9;9;0;1;1;1;1;1
0;5750;2;1;1;1;4;1;1;2;0;2;1.33;54;1;1;1;1;1;0;0;1;1;1;1;0;1;1;84;1;1;1;1;1;0;1;1;1;1;1
0;17066.7;1;1;1;1;1;1;1;0;3;0;0.75;45;1;1;1;1;1;1;0;1;1;1;1;1;1;1;111;1;1;1;2;2;1;1;1;1;1;1
0;17700;1;1;1;1;3;1;1;0;1;0;0.33;0;1;1;1;1;1;1;0;1;1;1;1;1;1;0;284;1;1;1;1;1;1;1;1;1;1;1
0;15000;1;1;1;1;6;1;1;0;0;1;0.33;45;1;1;1;1;1;1;0;1;1;1;1;0;1;1;290;1;1;1;1;1;1;1;1;1;1;1
0;4500;1;1;2;1;2;2;1;0;0;4;1.33;9;1;1;1;1;1;0;0;1;1;1;1;0;0;1;437;1;1;1;3;3;1;0;1;1;1;1
0;6300;1;1;2;1;4;2;1;0;0;1;1;0;1;1;1;1;1;0;0;1;1;1;1;1;1;0;452;1;1;1;2;2;1;0;1;1;1;1
0;6000;1;1;1;1;2;1;1;0;2;0;0.67;0;1;0;1;1;1;1;1;1;1;1;1;0;1;0;95;1;1;1;9;9;1;1;1;1;1;1
0;7750;1;1;1;1;4;1;1;0;1;1;0.5;0;1;1;1;1;1;1;0;1;1;1;1;0;1;0;317;1;1;1;1;1;1;1;1;1;1;1
0;20700;1;1;1;1;6;1;1;0;2;0;0.67;0;1;1;1;1;1;0;0;1;1;1;1;0;1;0;25;1;1;1;1;1;1;1;1;1;1;1
0;8438;2;1;2;1;1;2;1;1;0;4;1.25;6;1;1;1;1;1;0;0;1;0;1;1;0;0;1;364;1;2;0;4;4;1;0;1;1;1;1
0;29750;1;1;1;1;5;2;1;0;0;2;2;36;1;1;1;1;1;0;0;1;1;1;1;0;1;1;421;1;1;1;9;9;1;0;1;1;1;1
0;13600;1;1;1;1;2;1;1;0;1;0;0.33;0;1;1;1;1;1;1;0;1;1;1;1;1;1;0;196;1;1;1;2;2;1;1;1;1;1;1
0;7375;1;1;1;1;3;1;1;0;1;3;2;18;1;1;1;1;1;0;0;1;1;1;1;0;0;1;466;1;1;1;1;1;1;1;1;1;1;1
1;2400;1;1;2;1;3;2;2;0;0;5;1.25;0;1;1;1;0;1;0;0;0;1;1;1;0;0;0;397;1;1;1;4;4;1;0;1;0;2;1
0;6025;2;1;1;1;5;1;1;0;1;3;1.33;30;1;0;1;1;1;0;0;0;1;1;1;1;1;1;154;1;2;0;2;2;1;1;1;1;2;1
0;12200;2;1;1;1;3;1;1;0;1;0;0.5;0;1;1;1;1;0;1;1;1;1;1;1;1;1;0;17;1;1;1;1;1;0;1;1;1;1;1
0;7200;1;1;2;1;6;2;1;2;0;3;1;40;1;1;0;1;1;0;0;1;1;1;1;0;1;1;25;1;1;1;4;4;1;0;1;1;1;1
